倉庫名,品番,月,数量
九州物流,BE0000WG,2026-01-01,1.0
九州物流,BE0000WG,2026-02-01,0.0
九州物流,BE0000WG,2026-03-01,1.0
九州物流,BE0000XC,2025-04-01,0.0
九州物流,BE0000XC,2025-05-01,1.0
九州物流,BE0000XC,2025-06-01,0.0
九州物流,BE0000XC,2025-07-01,0.0
九州物流,BE0000XC,2025-08-01,0.0
九州物流,BE0000XC,2025-09-01,0.0
九州物流,BE0000XC,2025-10-01,0.0
九州物流,BE0000XC,2025-11-01,0.0
九州物流,BE0000XC,2025-12-01,0.0
九州物流,BE0000XC,2026-01-01,2.0
九州物流,BE0000XC,2026-02-01,2.0
九州物流,BE0000XC,2026-03-01,0.0
九州物流,BE0000XG,2025-04-01,0.0
九州物流,BE0000XG,2025-05-01,0.0
九州物流,BE0000XG,2025-06-01,1.0
九州物流,BE0000XG,2025-07-01,1.0
九州物流,BE0000XG,2025-08-01,0.0
九州物流,BE0000XG,2025-09-01,1.0
九州物流,BE0000XG,2025-10-01,1.0
九州物流,BE0000XG,2025-11-01,3.0
九州物流,BE0000XG,2025-12-01,0.0
九州物流,BE0000XG,2026-01-01,0.0
九州物流,BE0000XG,2026-02-01,0.0
九州物流,BE0000XG,2026-03-01,0.0
九州物流,BE1007SG,2025-04-01,25.0
九州物流,BE1007SG,2025-05-01,0.0
九州物流,BE1007SG,2025-06-01,1.0
九州物流,BE1007SG,2025-07-01,0.0
九州物流,BE1007SG,2025-08-01,0.0
九州物流,BE1007SG,2025-09-01,0.0
九州物流,BE1007SG,2025-10-01,0.0
九州物流,BE1007SG,2025-11-01,1.0
九州物流,BE1007SG,2025-12-01,4.0
九州物流,BE1007SG,2026-01-01,24.0
九州物流,BE1007SG,2026-02-01,3.0
九州物流,BE1007SG,2026-03-01,2.0
九州物流,BE1007WC,2025-04-01,0.0
九州物流,BE1007WC,2025-05-01,0.0
九州物流,BE1007WC,2025-06-01,0.0
九州物流,BE1007WC,2025-07-01,0.0
九州物流,BE1007WC,2025-08-01,0.0
九州物流,BE1007WC,2025-09-01,0.0
九州物流,BE1007WC,2025-10-01,0.0
九州物流,BE1007WC,2025-11-01,0.0
九州物流,BE1007WC,2025-12-01,0.0
九州物流,BE1007WC,2026-01-01,0.0
九州物流,BE1007WC,2026-02-01,0.0
九州物流,BE1007WC,2026-03-01,1.0
九州物流,BE1010SC,2025-04-01,0.0
九州物流,BE1010SC,2025-05-01,1.0
九州物流,BE1010SC,2025-06-01,0.0
九州物流,BE1010SC,2025-07-01,0.0
九州物流,BE1010SC,2025-08-01,20.0
九州物流,BE1010SC,2025-09-01,31.0
九州物流,BE1010SC,2025-10-01,110.0
九州物流,BE1010SC,2025-11-01,4.0
九州物流,BE1010SC,2025-12-01,0.0
九州物流,BE1010SC,2026-01-01,1.0
九州物流,BE1010SC,2026-02-01,0.0
九州物流,BE1010SC,2026-03-01,4.0
九州物流,BE1010SC2,2025-04-01,5.0
九州物流,BE1010SC2,2025-05-01,2.0
九州物流,BE1010SC2,2025-06-01,0.0
九州物流,BE1010SC2,2025-07-01,1.0
九州物流,BE1010SC2,2025-08-01,11.0
九州物流,BE1010SC2,2025-09-01,58.0
九州物流,BE1010SC2,2025-10-01,9.0
九州物流,BE1010SC2,2025-11-01,34.0
九州物流,BE1010SC2,2025-12-01,10.0
九州物流,BE1010SC2,2026-01-01,1.0
九州物流,BE1010SC2,2026-02-01,4.0
九州物流,BE1010SC2,2026-03-01,0.0
九州物流,BE1010SCW,2025-04-01,0.0
九州物流,BE1010SCW,2025-05-01,0.0
九州物流,BE1010SCW,2025-06-01,0.0
九州物流,BE1010SCW,2025-07-01,0.0
九州物流,BE1010SCW,2025-08-01,0.0
九州物流,BE1010SCW,2025-09-01,0.0
九州物流,BE1010SCW,2025-10-01,0.0
九州物流,BE1010SCW,2025-11-01,0.0
九州物流,BE1010SCW,2025-12-01,1.0
九州物流,BE1010SCW,2026-01-01,0.0
九州物流,BE1010SCW,2026-02-01,1.0
九州物流,BE1010SCW,2026-03-01,0.0
九州物流,BE1010SG,2025-04-01,23.0
九州物流,BE1010SG,2025-05-01,12.0
九州物流,BE1010SG,2025-06-01,1.0
九州物流,BE1010SG,2025-07-01,28.0
九州物流,BE1010SG,2025-08-01,5.0
九州物流,BE1010SG,2025-09-01,14.0
九州物流,BE1010SG,2025-10-01,26.0
九州物流,BE1010SG,2025-11-01,5.0
九州物流,BE1010SG,2025-12-01,6.0
九州物流,BE1010SG,2026-01-01,16.0
九州物流,BE1010SG,2026-02-01,7.0
九州物流,BE1010SG,2026-03-01,5.0
九州物流,BE1010SGW,2025-04-01,0.0
九州物流,BE1010SGW,2025-05-01,0.0
九州物流,BE1010SGW,2025-06-01,0.0
九州物流,BE1010SGW,2025-07-01,0.0
九州物流,BE1010SGW,2025-08-01,0.0
九州物流,BE1010SGW,2025-09-01,0.0
九州物流,BE1010SGW,2025-10-01,0.0
九州物流,BE1010SGW,2025-11-01,0.0
九州物流,BE1010SGW,2025-12-01,0.0
九州物流,BE1010SGW,2026-01-01,2.0
九州物流,BE1010SGW,2026-02-01,0.0
九州物流,BE1010SGW,2026-03-01,0.0
九州物流,BE1010WG,2025-04-01,0.0
九州物流,BE1010WG,2025-05-01,0.0
九州物流,BE1010WG,2025-06-01,0.0
九州物流,BE1010WG,2025-07-01,0.0
九州物流,BE1010WG,2025-08-01,0.0
九州物流,BE1010WG,2025-09-01,0.0
九州物流,BE1010WG,2025-10-01,6.0
九州物流,BE1010WG,2025-11-01,0.0
九州物流,BE1010WG,2025-12-01,0.0
九州物流,BE1010WG,2026-01-01,0.0
九州物流,BE1010WG,2026-02-01,0.0
九州物流,BE1010WG,2026-03-01,9.0
九州物流,BE1010XG,2025-04-01,0.0
九州物流,BE1010XG,2025-05-01,0.0
九州物流,BE1010XG,2025-06-01,0.0
九州物流,BE1010XG,2025-07-01,0.0
九州物流,BE1010XG,2025-08-01,1.0
九州物流,BE1010XG,2025-09-01,0.0
九州物流,BE1010XG,2025-10-01,0.0
九州物流,BE1010XG,2025-11-01,0.0
九州物流,BE1010XG,2025-12-01,6.0
九州物流,BE1010XG,2026-01-01,0.0
九州物流,BE1010XG,2026-02-01,1.0
九州物流,BE1010XG,2026-03-01,0.0
九州物流,BE1507SC,2025-04-01,0.0
九州物流,BE1507SC,2025-05-01,0.0
九州物流,BE1507SC,2025-06-01,0.0
九州物流,BE1507SC,2025-07-01,0.0
九州物流,BE1507SC,2025-08-01,0.0
九州物流,BE1507SC,2025-09-01,4.0
九州物流,BE1507SC,2025-10-01,27.0
九州物流,BE1507SC,2025-11-01,0.0
九州物流,BE1507SC,2025-12-01,2.0
九州物流,BE1507SC,2026-01-01,0.0
九州物流,BE1507SC,2026-02-01,12.0
九州物流,BE1507SC,2026-03-01,1.0
九州物流,BE1507SG,2025-04-01,0.0
九州物流,BE1507SG,2025-05-01,5.0
九州物流,BE1507SG,2025-06-01,0.0
九州物流,BE1507SG,2025-07-01,0.0
九州物流,BE1507SG,2025-08-01,0.0
九州物流,BE1507SG,2025-09-01,2.0
九州物流,BE1507SG,2025-10-01,4.0
九州物流,BE1507SG,2025-11-01,0.0
九州物流,BE1507SG,2025-12-01,10.0
九州物流,BE1507SG,2026-01-01,2.0
九州物流,BE1507SG,2026-02-01,0.0
九州物流,BE1507SG,2026-03-01,0.0
九州物流,BE1507XG,2025-04-01,0.0
九州物流,BE1507XG,2025-05-01,0.0
九州物流,BE1507XG,2025-06-01,0.0
九州物流,BE1507XG,2025-07-01,0.0
九州物流,BE1507XG,2025-08-01,0.0
九州物流,BE1507XG,2025-09-01,0.0
九州物流,BE1507XG,2025-10-01,0.0
九州物流,BE1507XG,2025-11-01,0.0
九州物流,BE1507XG,2025-12-01,0.0
九州物流,BE1507XG,2026-01-01,0.0
九州物流,BE1507XG,2026-02-01,0.0
九州物流,BE1507XG,2026-03-01,1.0
九州物流,BE1510SC,2025-04-01,26.0
九州物流,BE1510SC,2025-05-01,9.0
九州物流,BE1510SC,2025-06-01,88.0
九州物流,BE1510SC,2025-07-01,65.0
九州物流,BE1510SC,2025-08-01,74.0
九州物流,BE1510SC,2025-09-01,34.0
九州物流,BE1510SC,2025-10-01,7.0
九州物流,BE1510SC,2025-11-01,27.0
九州物流,BE1510SC,2025-12-01,14.0
九州物流,BE1510SC,2026-01-01,38.0
九州物流,BE1510SC,2026-02-01,20.0
九州物流,BE1510SC,2026-03-01,0.0
九州物流,BE1510SC2,2025-04-01,85.0
九州物流,BE1510SC2,2025-05-01,81.0
九州物流,BE1510SC2,2025-06-01,80.0
九州物流,BE1510SC2,2025-07-01,97.0
九州物流,BE1510SC2,2025-08-01,55.0
九州物流,BE1510SC2,2025-09-01,57.0
九州物流,BE1510SC2,2025-10-01,26.0
九州物流,BE1510SC2,2025-11-01,21.0
九州物流,BE1510SC2,2025-12-01,23.0
九州物流,BE1510SC2,2026-01-01,108.0
九州物流,BE1510SC2,2026-02-01,45.0
九州物流,BE1510SC2,2026-03-01,13.0
九州物流,BE1510SCW,2025-04-01,0.0
九州物流,BE1510SCW,2025-05-01,20.0
九州物流,BE1510SCW,2025-06-01,0.0
九州物流,BE1510SCW,2025-07-01,0.0
九州物流,BE1510SCW,2025-08-01,19.0
九州物流,BE1510SCW,2025-09-01,8.0
九州物流,BE1510SCW,2025-10-01,6.0
九州物流,BE1510SCW,2025-11-01,16.0
九州物流,BE1510SCW,2025-12-01,5.0
九州物流,BE1510SCW,2026-01-01,1.0
九州物流,BE1510SCW,2026-02-01,0.0
九州物流,BE1510SCW,2026-03-01,4.0
九州物流,BE1510SG,2025-04-01,64.0
九州物流,BE1510SG,2025-05-01,53.0
九州物流,BE1510SG,2025-06-01,87.0
九州物流,BE1510SG,2025-07-01,50.0
九州物流,BE1510SG,2025-08-01,73.0
九州物流,BE1510SG,2025-09-01,76.0
九州物流,BE1510SG,2025-10-01,70.0
九州物流,BE1510SG,2025-11-01,71.0
九州物流,BE1510SG,2025-12-01,98.0
九州物流,BE1510SG,2026-01-01,31.0
九州物流,BE1510SG,2026-02-01,79.0
九州物流,BE1510SG,2026-03-01,87.0
九州物流,BE1510SGW,2025-04-01,0.0
九州物流,BE1510SGW,2025-05-01,5.0
九州物流,BE1510SGW,2025-06-01,5.0
九州物流,BE1510SGW,2025-07-01,4.0
九州物流,BE1510SGW,2025-08-01,0.0
九州物流,BE1510SGW,2025-09-01,4.0
九州物流,BE1510SGW,2025-10-01,0.0
九州物流,BE1510SGW,2025-11-01,0.0
九州物流,BE1510SGW,2025-12-01,0.0
九州物流,BE1510SGW,2026-01-01,0.0
